QM9_index n(H) n(C) n(N) n(O) n(F) RI-CCSD(T)/aug-cc-pVTZ RI-MP2/aug-cc-pVQZ RI-MP2/aug-cc-pVTZ CCSD(T)/aug-cc-pVQZ_additive_scheme E(HF/cc-pVDZ) U0(QM9) zpve(QM9) dE_CCSD(T)/aug-cc-pVQZ_additive_scheme dE_HF/cc-pVDZ dE_QM9 dE_0DNN_ls_onQM9 PML_QC_DFT_correction dE_PML_QC_DFT PML_QC_CCSD_correction dE_PML_QC_CCSD
284 10 5 0 1 0 -271.454344 -271.494597 -271.351498 -271.597443 -270.051557 -271.665153 0.140412 -2.508769 -1.833885 -2.504396 -2.506355 0.002685 -2.503671 -0.003821 -2.510177
285 9 4 1 1 0 -287.509989 -287.565957 -287.415135 -287.660811 -286.071243 -287.737498 0.130071 -2.330681 -1.648279 -2.329584 -2.332830 0.004496 -2.328334 0.003533 -2.329297
286 7 3 1 2 0 -323.398037 -323.480200 -323.314582 -323.563655 -321.896484 -323.665247 0.108391 -2.020745 -1.366455 -2.018392 -2.020911 0.002740 -2.018171 0.001390 -2.019521
287 8 4 0 2 0 -307.342690 -307.409604 -307.251363 -307.500931 -305.877145 -307.594137 0.117268 -2.199476 -1.552408 -2.192975 -2.194783 0.002737 -2.192046 -0.005789 -2.200572
288 7 3 1 2 0 -323.397000 -323.479575 -323.313521 -323.563054 -321.896662 -323.665987 0.106920 -2.020143 -1.366633 -2.017661 -2.021088 0.002663 -2.018426 -0.000654 -2.021743
289 9 4 1 1 0 -287.488837 -287.544093 -287.392905 -287.640026 -286.051235 -287.723848 0.129864 -2.309896 -1.628271 -2.315727 -2.312822 -0.002741 -2.315563 0.003276 -2.309546
290 8 3 2 1 0 -303.535022 -303.604710 -303.446134 -303.693598 -302.065059 -303.785832 0.119711 -2.122013 -1.436803 -2.130742 -2.133435 0.000465 -2.132970 0.010640 -2.122795
291 14 6 0 0 0 nan -236.782200 nan nan -235.379757 -236.916033 0.187721 nan -2.270592 -3.019300 -3.014600 -0.004361 -3.018961 -0.011992 -3.026592
292 12 5 0 1 0 -272.661502 -272.695578 -272.551573 -272.805506 -271.207471 -272.843742 0.164151 -2.716935 -1.991242 -2.706178 -2.705154 -0.000113 -2.705267 -0.011019 -2.716172
293 10 4 0 2 0 -308.549964 -308.609311 -308.451080 -308.708195 -307.034037 -308.772292 0.140737 -2.406843 -1.710743 -2.394053 -2.394559 0.001794 -2.392765 -0.011864 -2.406423
294 12 6 0 0 0 -235.539895 -235.554134 -235.427432 -235.666597 -234.185931 -235.699029 0.165997 -2.790703 -2.075323 -2.781118 -2.777889 -0.003205 -2.781094 -0.014615 -2.792504
295 10 5 0 1 0 -271.421201 -271.460017 -271.318255 -271.562963 -270.009423 -271.626697 0.141947 -2.474288 -1.791751 -2.467475 -2.464221 -0.003219 -2.467441 -0.010299 -2.474520
296 10 5 0 1 0 -271.412874 -271.451653 -271.309841 -271.554687 -270.001118 -271.618179 0.142192 -2.466012 -1.783446 -2.459202 -2.455917 -0.003672 -2.459589 -0.012256 -2.468173
297 10 5 0 1 0 -271.428320 -271.469008 -271.327152 -271.570176 -270.013215 -271.627826 0.142376 -2.481501 -1.795543 -2.469033 -2.468013 0.000055 -2.467959 -0.014433 -2.482446
298 8 4 0 2 0 -307.299091 -307.364308 -307.207440 -307.455959 -305.826031 -307.544712 0.118569 -2.154504 -1.501294 -2.144851 -2.143668 -0.001737 -2.145405 -0.011084 -2.154752
299 10 5 0 1 0 -271.417477 -271.461220 -271.317965 -271.560732 -270.004918 -271.621961 0.141365 -2.472058 -1.787246 -2.462157 -2.459716 -0.001725 -2.461441 -0.013722 -2.473438
300 8 4 0 2 0 -307.300559 -307.370507 -307.212091 -307.458976 -305.827632 -307.546144 0.117602 -2.157521 -1.502894 -2.145316 -2.145269 -0.000272 -2.145541 -0.012946 -2.158215
301 12 6 0 0 0 -235.535275 -235.552680 -235.424481 -235.663474 -234.183542 -235.698987 0.164890 -2.787580 -2.072935 -2.779969 -2.775501 -0.003908 -2.779409 -0.012047 -2.787548
302 10 5 0 1 0 -271.419314 -271.462714 -271.319497 -271.562532 -270.006918 -271.623957 0.141106 -2.473857 -1.789245 -2.463894 -2.461716 -0.002118 -2.463833 -0.013419 -2.475135
303 10 5 0 1 0 -271.421632 -271.463122 -271.320694 -271.564059 -270.007487 -271.630416 0.140619 -2.475385 -1.789815 -2.469866 -2.462285 -0.007819 -2.470105 -0.012820 -2.475105
304 11 5 1 0 0 -251.547782 -251.576742 -251.441849 -251.682676 -250.161460 -251.732828 0.153033 -2.565326 -1.845561 -2.565137 -2.560208 -0.004558 -2.564766 -0.005211 -2.565419
305 7 4 1 1 0 -286.249081 -286.308730 -286.160009 -286.397802 -284.848240 -286.498235 0.108342 -2.067569 -1.423833 -2.069138 -2.066942 -0.001465 -2.068407 -0.002267 -2.069209
306 8 5 0 1 0 -270.216733 -270.263632 -270.122427 -270.357937 -268.853695 -270.446915 0.118664 -2.269160 -1.634580 -2.264956 -2.265609 0.001721 -2.263887 -0.005800 -2.271409
307 7 4 1 1 0 -286.270152 -286.332334 -286.183575 -286.418911 -284.872772 -286.519735 0.108284 -2.088678 -1.448365 -2.090580 -2.091475 0.001047 -2.090428 0.000992 -2.090482
308 6 4 0 2 0 -306.128569 -306.202881 -306.046561 -306.284888 -304.703895 -306.403144 0.096346 -1.983330 -1.377714 -1.981606 -1.978648 -0.002786 -1.981434 -0.005979 -1.984627
309 7 4 1 1 0 -286.223213 -286.282708 -286.133944 -286.371977 -284.828805 -286.476486 0.107085 -2.041744 -1.404398 -2.046132 -2.047507 0.001560 -2.045947 0.002487 -2.045021
310 6 4 0 2 0 -306.099683 -306.173304 -306.016973 -306.256014 -304.674572 -306.369631 0.095023 -1.954455 -1.348392 -1.946770 -1.949325 0.003176 -1.946149 -0.004827 -1.954152
311 12 6 0 0 0 -235.538913 -235.552971 -235.425953 -235.665931 -234.188188 -235.700285 0.166237 -2.790037 -2.077581 -2.782614 -2.780147 -0.002138 -2.782285 -0.012315 -2.792462
312 10 5 0 1 0 -271.421463 -271.460181 -271.318207 -271.563437 -270.011391 -271.628346 0.142420 -2.474763 -1.793718 -2.469597 -2.466189 -0.003781 -2.469970 -0.010081 -2.476270
313 10 5 0 1 0 -271.424217 -271.464968 -271.322868 -271.566317 -270.011161 -271.624640 0.142766 -2.477643 -1.793489 -2.466237 -2.465959 -0.000081 -2.466041 -0.013975 -2.479934
314 9 4 1 1 0 -287.433860 -287.486926 -287.337496 -287.583290 -285.988325 -287.657053 0.131404 -2.253160 -1.565361 -2.250472 -2.249913 0.000206 -2.249706 -0.005799 -2.255712
315 8 4 0 2 0 -307.308476 -307.375542 -307.218489 -307.465529 -305.832405 -307.548619 0.119358 -2.164074 -1.507668 -2.149547 -2.150043 0.000366 -2.149677 -0.014241 -2.164283
316 10 6 0 0 0 -234.279793 -234.304788 -234.179210 -234.405372 -232.962852 -234.455424 0.144312 -2.529375 -1.850801 -2.516374 -2.511926 -0.002738 -2.514664 -0.016676 -2.528601
317 8 5 0 1 0 -270.148525 -270.197389 -270.057267 -270.288647 -268.767899 -270.370102 0.119521 -2.199869 -1.548783 -2.189000 -2.179812 -0.008111 -2.187923 -0.016244 -2.196056
318 9 5 1 0 0 -250.283186 -250.319440 -250.186614 -250.416011 -248.927318 -250.478855 0.132764 -2.298559 -1.609975 -2.291441 -2.283181 -0.006781 -2.289961 -0.011525 -2.294705
319 8 5 0 1 0 -270.167245 -270.218986 -270.078148 -270.308083 -268.788082 -270.382725 0.120826 -2.219305 -1.568967 -2.202928 -2.199996 -0.001551 -2.201547 -0.018382 -2.218378
320 7 4 1 1 0 -286.172956 -286.236235 -286.088208 -286.320982 -284.754689 -286.408473 0.109323 -1.990749 -1.330282 -1.980357 -1.973391 -0.005942 -1.979333 -0.013145 -1.986536
321 2 5 0 1 0 -266.465106 -266.540335 -266.398982 -266.606458 -265.230728 -266.763445 0.046910 -1.517370 -1.007283 -1.511370 -1.513988 0.001210 -1.512778 -0.004462 -1.518450
322 1 4 1 1 0 -282.545037 -282.632526 -282.485254 -282.692309 -281.281388 -282.861121 0.036304 -1.361766 -0.852652 -1.361624 -1.371437 0.009367 -1.362071 0.008543 -1.362894
323 0 3 2 1 0 -298.619621 -298.719438 -298.566169 -298.772889 -297.325992 -298.952950 0.025540 -1.200891 -0.691963 -1.205873 -1.222830 0.018710 -1.204119 0.024688 -1.198142
324 2 4 0 2 0 -303.612159 -303.702360 -303.546228 -303.768291 -302.280125 -303.934323 0.046458 -1.466526 -0.951059 -1.463989 -1.469109 0.002857 -1.466252 0.002200 -1.466910
325 1 3 1 2 0 -319.690326 -319.792745 -319.630621 -319.852450 -318.329174 -320.029854 0.035739 -1.309230 -0.794815 -1.311985 -1.324947 0.012172 -1.312775 0.016086 -1.308861
326 2 3 0 3 0 -340.751158 -340.856845 -340.685398 -340.922605 -339.321066 -341.097446 0.045968 -1.408162 -0.886377 -1.408815 -1.415774 0.007087 -1.408687 0.008655 -1.407119
327 6 6 0 0 0 -231.801122 -231.842163 -231.715472 -231.927813 -230.581580 -232.025930 0.093567 -2.051609 -1.466643 -2.037227 -2.044885 0.006793 -2.038092 -0.007269 -2.052154
328 5 5 1 0 0 -247.890228 -247.943187 -247.810686 -248.022729 -246.642845 -248.132701 0.083296 -1.905070 -1.322617 -1.896911 -1.912939 0.015699 -1.897240 0.007234 -1.905705
329 4 4 2 0 0 -263.975751 -264.040730 -263.902435 -264.114046 -262.699964 -264.235803 0.072887 -1.754931 -1.174444 -1.752788 -1.776847 0.022668 -1.754179 0.020585 -1.756263
330 4 4 2 0 0 -263.912563 -263.978476 -263.838665 -264.052373 -262.629324 -264.171923 0.072434 -1.693259 -1.103803 -1.688455 -1.706207 0.017994 -1.688213 0.013853 -1.692353
331 3 3 3 0 0 -279.996503 -280.074462 -279.928822 -280.142143 -278.685175 -280.273691 0.061962 -1.541573 -0.954362 -1.542935 -1.568847 0.026012 -1.542834 0.027429 -1.541418
332 4 5 0 1 0 -267.677571 -267.744833 -267.602974 -267.819430 -266.396653 -267.944278 0.070081 -1.730446 -1.174651 -1.714828 -1.722797 0.007862 -1.714935 -0.008618 -1.731415
333 3 4 1 1 0 -283.763915 -283.843172 -283.695467 -283.911620 -282.455224 -284.048718 0.059690 -1.581180 -1.027931 -1.572061 -1.588158 0.015772 -1.572386 0.006139 -1.582019
334 2 3 2 1 0 -299.846156 -299.937483 -299.783973 -299.999667 -298.508937 -300.148891 0.049170 -1.427771 -0.876352 -1.424898 -1.448660 0.023612 -1.425048 0.020836 -1.427823
335 6 5 0 1 0 -268.956941 -269.013912 -268.872197 -269.098657 -267.639517 -269.207716 0.093434 -2.009775 -1.418959 -2.001073 -2.008546 0.007224 -2.001322 -0.002010 -2.010556
336 5 4 1 1 0 -285.044986 -285.113807 -284.966417 -285.192376 -283.699345 -285.313284 0.083083 -1.862040 -1.273494 -1.859474 -1.875163 0.015466 -1.859696 0.011348 -1.863815
337 4 4 0 2 0 -304.837738 -304.921210 -304.764145 -304.994803 -303.458395 -305.130184 0.070272 -1.693141 -1.130772 -1.683118 -1.690264 0.005532 -1.684732 -0.004491 -1.694755
338 3 3 1 2 0 -320.923039 -321.018586 -320.855646 -321.085979 -319.515748 -321.233569 0.059833 -1.542862 -0.982832 -1.539248 -1.554405 0.014537 -1.539869 0.010738 -1.543667
339 6 4 0 2 0 -306.106176 -306.179357 -306.022324 -306.263208 -304.689909 -306.383308 0.093292 -1.961649 -1.363728 -1.958716 -1.964662 0.007594 -1.957068 0.002602 -1.962060
340 6 3 2 1 0 -302.306171 -302.381426 -302.224380 -302.463217 -300.878099 -302.579718 0.096802 -1.891529 -1.248400 -1.902265 -1.903591 0.001024 -1.902567 0.009955 -1.893636
341 5 3 1 2 0 -322.176544 -322.266143 -322.101254 -322.341434 -320.727870 -322.477268 0.084124 -1.798420 -1.196398 -1.806692 -1.809412 0.003632 -1.805780 0.011091 -1.798321
342 4 3 0 3 0 -341.988312 -342.088131 -341.915837 -342.160606 -340.509650 -342.307696 0.070094 -1.646267 -1.076405 -1.642645 -1.647243 0.005121 -1.642122 0.000804 -1.646439
343 5 3 3 0 0 -281.214810 -281.285926 -281.137975 -281.362762 -279.853007 -281.480993 0.084203 -1.762295 -1.123638 -1.771932 -1.779564 0.009316 -1.770247 0.017902 -1.761662
344 6 3 2 1 0 -302.291229 -302.366360 -302.209058 -302.448530 -300.861255 -302.564379 0.095327 -1.876842 -1.231556 -1.885451 -1.886747 0.002127 -1.884620 0.013036 -1.873711
345 6 5 0 1 0 -268.961986 -269.019227 -268.876984 -269.104229 -267.645366 -269.216969 0.093670 -2.015348 -1.424808 -2.010562 -2.014395 0.003648 -2.010747 -0.002328 -2.016723
346 5 4 1 1 0 -285.044894 -285.114409 -284.966246 -285.193057 -283.699693 -285.317454 0.083070 -1.862720 -1.273843 -1.863631 -1.875511 0.011510 -1.864001 0.010867 -1.864644
347 5 3 3 0 0 -281.218473 -281.289949 -281.141736 -281.366686 -279.857262 -281.484877 0.084889 -1.766220 -1.127893 -1.776502 -1.783819 0.010509 -1.773310 0.018622 -1.765197
348 5 4 1 1 0 -285.007057 -285.079872 -284.929727 -285.157201 -283.654898 -285.282532 0.083300 -1.826865 -1.229048 -1.828939 -1.830716 0.000178 -1.830538 0.002865 -1.827851
349 4 4 0 2 0 -304.855333 -304.939862 -304.782408 -305.012787 -303.478665 -305.155985 0.071026 -1.711126 -1.151041 -1.709673 -1.710533 0.000010 -1.710522 -0.001008 -1.711541
350 3 3 1 2 0 -320.936633 -321.033619 -320.870327 -321.099925 -319.530809 -321.254976 0.060480 -1.556808 -0.997893 -1.561302 -1.569466 0.008708 -1.560758 0.013669 -1.555797
351 4 4 0 2 0 -304.835678 -304.919753 -304.762423 -304.993008 -303.456463 -305.130313 0.070046 -1.691347 -1.128839 -1.683021 -1.688331 0.004388 -1.683944 -0.002917 -1.691248
352 3 3 1 2 0 -320.917542 -321.013898 -320.850608 -321.080832 -319.509638 -321.230055 0.059291 -1.537715 -0.976723 -1.535192 -1.548295 0.010590 -1.537705 0.008987 -1.539308
353 6 4 0 2 0 -306.113187 -306.186245 -306.028586 -306.270846 -304.701211 -306.392828 0.093575 -1.969288 -1.375031 -1.968519 -1.975964 0.005732 -1.970233 0.004935 -1.971030
354 6 3 2 1 0 -302.285128 -302.359880 -302.202443 -302.442565 -300.855419 -302.558547 0.095538 -1.870876 -1.225720 -1.879830 -1.880911 0.002718 -1.878193 0.010948 -1.869963
355 5 3 1 2 0 -322.153654 -322.242421 -322.077105 -322.318971 -320.702630 -322.454079 0.083118 -1.775957 -1.171158 -1.782497 -1.784172 0.002991 -1.781180 0.010614 -1.773558
356 4 3 0 3 0 -342.004479 -342.104739 -341.932268 -342.176950 -340.530676 -342.329232 0.070937 -1.662611 -1.097430 -1.665024 -1.668268 0.003324 -1.664944 0.006272 -1.661996
357 4 3 0 3 0 -341.978321 -342.077923 -341.905495 -342.150749 -340.500423 -342.297848 0.069653 -1.636410 -1.067178 -1.632356 -1.638016 0.005648 -1.632367 0.003536 -1.634480
358 10 5 0 1 0 -271.453350 -271.493594 -271.349820 -271.597124 -270.054521 -271.666841 0.140552 -2.508450 -1.836849 -2.506224 -2.509319 0.003304 -2.506015 -0.000170 -2.509489
359 8 4 0 2 0 -307.327459 -307.394332 -307.235664 -307.486128 -305.865137 -307.580090 0.116949 -2.184672 -1.540400 -2.178609 -2.182775 0.003935 -2.178840 -0.001739 -2.184514
360 9 4 1 1 0 -287.498956 -287.554395 -287.402879 -287.650472 -286.064629 -287.732329 0.130452 -2.320342 -1.641665 -2.324796 -2.326216 0.002317 -2.323899 0.005176 -2.321040
361 8 4 0 2 0 -307.352201 -307.419406 -307.260634 -307.510973 -305.894563 -307.610450 0.118017 -2.209518 -1.569826 -2.210037 -2.212201 0.002266 -2.209935 0.002552 -2.209649
362 7 3 1 2 0 -323.371513 -323.453642 -323.287103 -323.538053 -321.873804 -323.644468 0.106577 -1.995142 -1.343775 -1.995799 -1.998230 0.002330 -1.995901 0.003505 -1.994725
363 8 3 2 1 0 -303.533969 -303.603473 -303.444381 -303.693061 -302.068697 -303.787203 0.119461 -2.121476 -1.440442 -2.131863 -2.137074 0.005227 -2.131847 0.014777 -2.122297
364 7 3 1 2 0 -323.390220 -323.472307 -323.305593 -323.556933 -321.900804 -323.669200 0.107261 -2.014023 -1.370775 -2.021215 -2.025230 0.002846 -2.022384 0.009902 -2.015329
365 7 3 1 2 0 -323.378483 -323.458818 -323.292797 -323.544504 -321.884951 -323.652284 0.107439 -2.001594 -1.354923 -2.004477 -2.009378 0.004086 -2.005292 0.007767 -2.001611
366 6 3 0 3 0 -343.233858 -343.327732 -343.153985 -343.407604 -341.713288 -343.531666 0.094874 -1.893369 -1.281487 -1.890849 -1.893766 0.002766 -1.891000 0.000224 -1.893542
367 6 3 0 3 0 -343.200430 -343.293961 -343.120317 -343.374073 -341.674763 -343.492484 0.093310 -1.859838 -1.242961 -1.850103 -1.855240 0.005012 -1.850228 -0.004067 -1.859307
368 9 4 1 1 0 -287.461496 -287.514692 -287.363768 -287.612420 -286.023026 -287.697316 0.129176 -2.282290 -1.600062 -2.288507 -2.284614 -0.003479 -2.288093 0.002604 -2.282009
369 8 5 0 1 0 -270.173151 -270.223901 -270.081140 -270.315912 -268.807061 -270.396100 0.117465 -2.227134 -1.587945 -2.212942 -2.218974 0.005351 -2.213623 -0.008865 -2.227840
370 7 4 1 1 0 -286.264002 -286.326654 -286.178108 -286.412548 -284.870279 -286.504534 0.107232 -2.082315 -1.445871 -2.074327 -2.088981 0.015228 -2.073754 0.006527 -2.082454
371 10 6 0 0 0 -234.290246 -234.314268 -234.186468 -234.418046 -232.984872 -234.474088 0.140950 -2.542049 -1.872821 -2.531676 -2.533946 0.002866 -2.531080 -0.007877 -2.541823
372 9 5 1 0 0 -250.382048 -250.417927 -250.284368 -250.515606 -249.049106 -250.583259 0.130797 -2.398153 -1.731764 -2.393878 -2.404969 0.012153 -2.392816 0.007425 -2.397544
373 8 4 2 0 0 -266.408787 -266.457640 -266.316897 -266.549530 -265.040919 -266.626759 0.119956 -2.190622 -1.518285 -2.189721 -2.203571 0.014270 -2.189301 0.012384 -2.191187
374 8 5 0 1 0 -270.172190 -270.222336 -270.079550 -270.314977 -268.806201 -270.397474 0.117373 -2.226199 -1.587086 -2.214224 -2.218115 0.004225 -2.213890 -0.008915 -2.227029
375 7 4 1 1 0 -286.261060 -286.323003 -286.174521 -286.409541 -284.867609 -286.504040 0.107081 -2.079308 -1.443202 -2.073682 -2.086312 0.012235 -2.074077 0.006241 -2.080071
376 8 4 2 0 0 -266.393880 -266.442465 -266.301382 -266.534963 -265.027470 -266.615452 0.119301 -2.176055 -1.504836 -2.177759 -2.190123 0.012483 -2.177640 0.014130 -2.175992
377 8 5 0 1 0 -270.153168 -270.201985 -270.059174 -270.295979 -268.789212 -270.384180 0.116766 -2.207201 -1.570097 -2.200323 -2.201126 0.001624 -2.199501 -0.005031 -2.206156
378 7 4 1 1 0 -286.246597 -286.307804 -286.159031 -286.395370 -284.855583 -286.495035 0.106659 -2.065137 -1.431176 -2.064255 -2.074286 0.010811 -2.063475 0.008826 -2.065460
379 6 3 2 1 0 -302.288451 -302.364159 -302.208270 -302.444340 -300.858679 -302.545112 0.096396 -1.872651 -1.228980 -1.867253 -1.884171 0.017104 -1.867067 0.011509 -1.872662
380 7 3 3 0 0 -282.434707 -282.496959 -282.348886 -282.582780 -281.029686 -282.667163 0.109366 -1.982416 -1.301760 -1.982719 -1.999127 0.016346 -1.982780 0.016663 -1.982464
381 6 3 2 1 0 -302.288016 -302.363377 -302.207648 -302.443745 -300.857646 -302.545562 0.096532 -1.872057 -1.227947 -1.867839 -1.883138 0.014238 -1.868900 0.011527 -1.871611
382 6 4 0 2 0 -306.056243 -306.133141 -305.975388 -306.213995 -304.627779 -306.320806 0.094585 -1.912437 -1.301599 -1.897507 -1.902532 0.005020 -1.897512 -0.009183 -1.911715
383 5 3 1 2 0 -322.142786 -322.231536 -322.068042 -322.306280 -320.686733 -322.425235 0.084113 -1.763266 -1.155261 -1.754648 -1.768275 0.012777 -1.755498 0.006654 -1.761621
384 8 4 0 2 0 -307.325665 -307.392376 -307.234306 -307.483735 -305.862585 -307.574899 0.117353 -2.182280 -1.537848 -2.173822 -2.180222 0.006090 -2.174132 -0.002943 -2.183165
385 10 5 0 1 0 -271.442040 -271.482244 -271.339090 -271.585195 -270.038816 -271.651913 0.140783 -2.496520 -1.821144 -2.491527 -2.493614 0.002850 -2.490764 -0.002397 -2.496012
386 8 4 0 2 0 -307.330960 -307.397688 -307.239501 -307.489147 -305.866368 -307.581989 0.117766 -2.187692 -1.541631 -2.181325 -2.184005 0.003545 -2.180460 -0.004377 -2.188383
387 9 4 1 1 0 -287.486041 -287.541350 -287.390340 -287.637050 -286.048601 -287.720383 0.130695 -2.306920 -1.625637 -2.313093 -2.310188 -0.002097 -2.312285 0.004901 -2.305287
388 8 4 0 2 0 -307.309372 -307.374270 -307.216103 -307.467538 -305.849623 -307.566593 0.116572 -2.166083 -1.524886 -2.164735 -2.167261 0.003131 -2.164130 0.001019 -2.166242
389 6 3 0 3 0 -343.213248 -343.306517 -343.133408 -343.386356 -341.686459 -343.503600 0.094809 -1.872121 -1.254657 -1.862718 -1.866936 0.004537 -1.862399 -0.005602 -1.872538
390 10 4 0 2 0 -308.537410 -308.598343 -308.438980 -308.696774 -307.023681 -308.759090 0.141197 -2.395422 -1.700387 -2.381311 -2.384203 0.003471 -2.380733 -0.012176 -2.396379
391 14 6 0 0 0 nan -236.780004 nan nan -235.381125 -236.916125 0.188227 nan -2.271961 -3.019898 -3.015968 -0.003624 -3.019592 -0.009916 -3.025885
392 12 5 0 1 0 -272.655711 -272.689967 -272.545558 -272.800120 -271.203243 -272.838189 0.164837 -2.711548 -1.987014 -2.701311 -2.700926 -0.000012 -2.700937 -0.010240 -2.711166
393 12 5 0 1 0 -272.643980 -272.676365 -272.532131 -272.788214 -271.195696 -272.834623 0.164188 -2.699643 -1.979467 -2.697096 -2.693379 -0.002951 -2.696330 -0.006020 -2.699399
394 12 5 0 1 0 -272.659975 -272.693366 -272.549274 -272.804068 -271.209268 -272.844804 0.164626 -2.715496 -1.993038 -2.707715 -2.706950 0.000350 -2.706600 -0.008503 -2.715453
395 10 4 0 2 0 -308.544578 -308.604541 -308.445583 -308.703536 -307.031140 -308.768073 0.141924 -2.402184 -1.707846 -2.391021 -2.391662 0.000904 -2.390757 -0.010544 -2.402206
396 10 4 0 2 0 -308.527834 -308.586791 -308.427672 -308.686953 -307.017948 -308.757315 0.141335 -2.385602 -1.694654 -2.379674 -2.378470 -0.000702 -2.379172 -0.008157 -2.386626
397 8 3 0 3 0 -344.426657 -344.513176 -344.339289 -344.600544 -342.850869 -344.689237 0.118969 -2.086412 -1.420511 -2.071969 -2.074231 0.002458 -2.071773 -0.011920 -2.086151
398 8 6 0 0 0 -233.051009 -233.085117 -232.958371 -233.177754 -231.785193 -233.255259 0.118255 -2.301654 -1.671700 -2.290698 -2.291383 0.000264 -2.291119 -0.010887 -2.302270
399 7 5 1 0 0 -249.142114 -249.187969 -249.055455 -249.274628 -247.848668 -249.363808 0.108158 -2.157072 -1.529883 -2.152334 -2.161647 0.009302 -2.152345 0.002992 -2.158655
400 7 5 1 0 0 -249.070691 -249.116197 -248.982898 -249.203990 -247.768410 -249.293044 0.106988 -2.086434 -1.449624 -2.080400 -2.081388 -0.000224 -2.081612 -0.005229 -2.086617
401 6 4 2 0 0 -265.160056 -265.217270 -265.078233 -265.299093 -263.830363 -265.399968 0.096715 -1.940082 -1.306286 -1.940235 -1.950131 0.009751 -1.940380 0.009893 -1.940238
402 6 5 0 1 0 -268.926420 -268.984522 -268.843617 -269.067325 -267.597536 -269.176124 0.094019 -1.978444 -1.376977 -1.970066 -1.966565 -0.003708 -1.970273 -0.012337 -1.978901
403 5 4 1 1 0 -285.013835 -285.083707 -284.937068 -285.160474 -283.656945 -285.281032 0.083704 -1.830137 -1.231095 -1.827843 -1.832763 0.004615 -1.828148 0.002593 -1.830171
404 6 4 2 0 0 -265.169351 -265.228491 -265.088479 -265.309363 -263.840959 -265.408147 0.097330 -1.950352 -1.316882 -1.949029 -1.960727 0.011730 -1.948997 0.009857 -1.950870
405 6 5 0 1 0 -268.929645 -268.990110 -268.847816 -269.071939 -267.603465 -269.176442 0.094491 -1.983057 -1.382906 -1.970856 -1.972494 0.001788 -1.970706 -0.010955 -1.983448
406 5 4 1 1 0 -285.018264 -285.090450 -284.942444 -285.166270 -283.664304 -285.282853 0.084237 -1.835933 -1.238454 -1.830197 -1.840122 0.010042 -1.830080 0.003725 -1.836398
407 8 5 0 1 0 -270.208747 -270.259596 -270.117230 -270.351112 -268.845671 -270.439135 0.118497 -2.262334 -1.626556 -2.257009 -2.257585 0.001047 -2.256537 -0.005319 -2.262904
408 7 4 1 1 0 -286.229266 -286.291212 -286.142405 -286.378073 -284.831094 -286.477365 0.107129 -2.047840 -1.406687 -2.047055 -2.049796 0.002295 -2.047501 0.001333 -2.048464
409 6 4 0 2 0 -306.083247 -306.157647 -306.001247 -306.239647 -304.658073 -306.358581 0.094183 -1.938088 -1.331893 -1.934880 -1.932826 -0.001350 -1.934176 -0.003787 -1.936613
410 6 4 0 2 0 -306.090637 -306.168212 -306.010251 -306.248599 -304.665314 -306.364186 0.094927 -1.947040 -1.339134 -1.941229 -1.940067 -0.000678 -1.940745 -0.007690 -1.947757
411 10 5 0 1 0 -271.416326 -271.460479 -271.317101 -271.559703 -270.003620 -271.618137 0.142009 -2.471028 -1.785948 -2.458977 -2.458418 -0.000159 -2.458577 -0.012881 -2.471300
412 9 4 1 1 0 -287.443788 -287.499331 -287.349536 -287.593583 -285.995061 -287.663174 0.131490 -2.263453 -1.572097 -2.256679 -2.256648 -0.000820 -2.257468 -0.008007 -2.264655
413 8 4 0 2 0 -307.298859 -307.366827 -307.209442 -307.456244 -305.824153 -307.545713 0.118491 -2.154789 -1.499416 -2.145774 -2.141791 -0.004615 -2.146406 -0.014292 -2.156082
414 12 6 0 0 0 -235.534047 -235.551504 -235.423129 -235.662421 -234.182625 -235.696677 0.165551 -2.786527 -2.072018 -2.778320 -2.774584 -0.003376 -2.777960 -0.011913 -2.786497
415 10 5 0 1 0 -271.415593 -271.456964 -271.314558 -271.557999 -270.001916 -271.623066 0.141536 -2.469325 -1.784244 -2.463433 -2.456714 -0.007739 -2.464454 -0.014067 -2.470781
416 10 5 0 1 0 -271.417764 -271.461168 -271.317713 -271.561220 -270.006199 -271.621836 0.141819 -2.472545 -1.788527 -2.462486 -2.460997 -0.001717 -2.462714 -0.012024 -2.473021
417 10 5 0 1 0 -271.401128 -271.443106 -271.299768 -271.544465 -269.991802 -271.611366 0.141327 -2.455791 -1.774130 -2.451524 -2.446600 -0.004946 -2.451547 -0.009462 -2.456062
418 8 4 0 2 0 -307.300991 -307.371333 -307.212723 -307.459602 -305.827980 -307.544316 0.118700 -2.158147 -1.503243 -2.144586 -2.145618 0.000988 -2.144630 -0.012238 -2.157856
419 8 5 0 1 0 -270.217317 -270.264408 -270.123153 -270.358572 -268.854610 -270.447268 0.118901 -2.269794 -1.635494 -2.265546 -2.266523 0.001771 -2.264752 -0.004287 -2.270811
420 7 4 1 1 0 -286.267715 -286.329946 -286.181093 -286.416569 -284.870446 -286.517094 0.108515 -2.086335 -1.446039 -2.088170 -2.089149 0.001830 -2.087318 0.001595 -2.087553
